,Utterance,Start,End,Group,Participant,Transcript,int,uns-ov
0,0,0.33,4.32,4,4,Ok I'm going to callibrate my cameras,0,0
1,1,11.67,14.1,4,4,I'm sorry I feel like this didn't catch up,0,0
2,2,14.64,16.71,4,4,Ok  ,0,0
3,3,21.05,23.97,4,1,I don't know if I have to be serious or not,0,1
4,4,21.5,22.25,4,2,That was awkward,0,0
5,5,24.96,32.4,4,4,So the task you are completing today is called the weights task in the first part you are going to work together to determine the weights of the cube,0,0
6,6,33.3,36.24,4,4,I will tell you that the red cube is ten grams,0,0
7,7,36.78,40.38,4,4,You will determine the weights of the remaining cubes using the scale provided,0,0
8,8,41.13,45.0,4,4,All of the weights are in intervals of ten grams so you don't need to use the slider,0,0
9,9,45.72,52.8,4,4,Um the scale is not perfect so as long as one side does not drop completely you can assume the weights are fairly equal,0,0
10,10,54.45,56.85,4,4,You must place the weights onto this,0,0
11,11,57.36,68.75,4,4,Place the cubes under the worksheet and then also fill out the survey in line as you go and you can now start oh and you're group four,0,0
12,12,66.41,70.8,4,3,Uh they are not all weight this has more weight oh we're group four so we press enter here,0,0
13,13,64.9,67.66,4,2,Ok so the red has ten,0,0
14,14,72.21,80.64,4,3,Well then no let's compare the red to the blue to see if we can get a baseline to the blue,0,1
15,15,78.08,78.33,4,2,Yeah,0,0
16,16,80.79,83.1,4,1,Well the top is a ten,0,0
17,17,83.58,83.84,4,2,Is it,0,0
18,18,85.12,86.13,4,1,Once it stops,0,0
19,19,89.82,97.32,4,1,Ok there easy so this is twenty yeah cause this is ten as long as it's not dropping it's the same,0,1
20,20,91.67,95.35,4,2,Is it ten and this was equal to this one,0,0
21,21,97.83,99.96,4,1,And then this was,0,0
22,22,103.08,103.67,4,1,Perfect,0,0
23,23,104.58,105.93,4,2,Ok,0,0
24,24,108.33,112.77,4,3,Put the twenty on there take off a ten,0,1
25,25,106.05,110.84,4,1,I feel like this one is oh yeah so this is ,0,0
26,26,110.18,111.34,4,2,Take off a ten,1,0
27,27,116.34,118.32,4,1,So it's not,0,0
28,28,119.94,125.75,4,1,It doesn't drop completely yeah we can consider this to be thirty then yeah because it doesn’t drop,0,1
29,29,123.5,127.41,4,2,Can we yeah and it's obviously not forty,1,1
30,30,124.15,125.03,4,3,Can we,0,0
31,31,127.47,130.62,4,2,Well it's not and it's not twenty yeah it's gotta be thirty,0,0
32,32,127.47,127.75,4,1,Yeah,0,0
33,33,130.65,132.5,4,3,Yeah ok so that's thirty are we writing this down somewhere,0,0
34,34,134.91,136.92,4,4,No you just set the block wherever it goes ,0,0
35,35,132.58,139.95,4,2,Ok can we write on this paper oh well it's a good try to put in our head,0,0
36,36,142.5,145.8,4,4,Um you should be writing it down on the worksheet,0,0
37,37,140.61,142.31,4,2,Wait that oh yeah oh ok,0,0
38,38,142.32,143.25,4,3,And then we want ,0,0
39,39,147.06,151.89,4,1,Oh on there,0,0
40,40,155.04,161.79,4,3,Uh so yellow we or red and blue there's no there's no ok,0,1
41,41,157.84,159.83,4,1,Ok so we can say that this is fifty,0,0
42,42,160.63,161.79,4,2,Not fifty,0,0
43,43,161.88,162.59,4,1,Blue is ten,0,0
44,44,162.59,163.86,4,2,Sixty right ,0,0
45,45,164.67,167.67,4,2,Weren't those both thirty or no only one of them twenty and thirty ,0,0
46,46,165.67,170.31,4,1,No this is twenty you're off the team,1,1
47,47,168.05,169.5,4,3,Twenty and then,0,0
48,48,170.46,177.06,4,3,And so that would mean yellow is fifty,0,0
49,49,170.46,172.25,4,2,I've been cut ,0,0
50,50,175.5,177.06,4,1,Yeah,0,0
51,51,177.87,182.61,4,3,Alright we all happy with that we happy with these solutions,0,1
52,52,178.83,180.41,4,1,This took someone twenty minutes,0,0
53,53,183.06,183.59,4,1,Yeah,0,0
54,54,183.33,186.09,4,2,Yellow is fifty green green is a twenty right,1,0
55,55,184.34,187.35,4,3,Blue's ten green is a twenty,1,0
56,56,187.44,189.17,4,2,Yeah I can see how we can try ,0,0
57,57,187.44,191.04,4,1,Yeah yeah definitely,0,0
